Title,Engine Volume,City,Year,Fuel Type,Mileage,Price,Vendor,Description,Link,Points
VW Bora,2.0,Бургас,2000,Газ/Бензин,215000 км.,2950 лв.,частно лице,Продавам vw бора газ бензин вписан по талон перфектен много икономичен и н...,https://www.cars.bg/offer/66cdc050ab81698b1009e904,49.27
Opel Vectra 115к,1.8,София,2000,Газ/Бензин,190000 км.,3000 лв.,частно лице,"4бр летни 4бр зимни гуми с джанти Винетка,Нова Рейка на ГУ.Нов датчик на ...",https://www.cars.bg/offer/6626afd1b552291fac08e344,46.41
Honda Stream,1.7,Пловдив,2001,Газ/Бензин,280000 км.,3200 лв.,частно лице,Автомобилът е с газов инжекцион lovatto. Обслужена е. Валидна винетка и гра...,https://www.cars.bg/offer/66d21c5bcc7315d001012e07,45.73
VW Touran FSI,1.6,Стара Загора,2002,Бензин,189100 км.,3200 лв.,частно лице,Колата е закупена от Германия и е докарана на ход. Не е регистирана в Бълга...,https://www.cars.bg/offer/66d2bdc90928b462af09b964,45.62
Hyundai Santa Fe,2.4,Пловдив,2003,Газ/Бензин,276000 км.,3200 лв.,частно лице,"Продаваме семейния ни автомобил. Поддържан е винаги в изрядно състояние, ця...",https://www.cars.bg/offer/66d1659f626b68b9260f1202,44.67
VW Passat бензин,2.0,Варна,2003,Бензин,173500 км.,3900 лв.,частно лице,Нов внос добро състояние със катализатор намира се в Долни чифлик съдействи...,https://www.cars.bg/offer/615fed60b2673764f67ef772,44.66
Toyota Corolla Verso Бензин,1.8,Хасково,2002,Газ/Бензин,251000 км.,3000 лв.,частно лице,Колата се продава с комплект 4 стоманени джанти със зимни гуми.,https://www.cars.bg/offer/66d5eda8b65e4d871502b642,44.64
Toyota Avensis vvti-147к.с,2.0,София,2003,Бензин,220000 км.,4198 лв.,частно лице,Автомобила е регистриран и обслужен. Сменени са скоро и бобините. Има валид...,https://www.cars.bg/offer/669229a1691f9173600c1c42,44.56
Kia Carens i,1.8,Пловдив,2001,Газ/Бензин,208000 км.,3500 лв.,частно лице,"Продавам Киа Каренс 1, 8i 16V 2001 година, 110 к. с. , газов инжекцион течн...",https://www.cars.bg/offer/65f0980891872f53390fcec5,44.26
Mazda 6 бензин/газ,2.3,София,2005,Газ/Бензин,245000 км.,2800 лв.,частно лице,"Здравейте, продавам мазда 6 американско изпълнение с газ/бензин. Добро съст...",https://www.cars.bg/offer/66b1bfdd521392c5440b9a32,43.41
